Idade,Genero,Curso de Origem,Turma,Status,Trilha ,Prefere Equipe,Grupo Extracurricular,O que motiva a fazer parte de grupos ,O que une grupos,O que diminui o engajamento de grupos,Aplicação favorita para interação,MUST TO HAVE,Qual problema NICE TO HAVE (gera stress),Qual problema DO NOT NEED (foi leve / n necessário),Se deparou com algum problema sobre autonomia e objetivos de aprendizagem n mencionado?,"Caso s, descreva:",Chegou a olhar o Notion em algum momento para procurar colegas?,Você se considera uma pessoa tímida (ter a iniciativa de procurar colegas),Em que momento você procurou outros colegas com objetivos em comum?,Características do 01,Característica do 02,Características 03,Como você lidou com o 01,Como você lidou com o 02,Como você lidou com o 03
De 18 a 21,f,outros,2020/21,Ex-aluno,Mercado de Trabalho,1,s,"Auxiliar colegas, Troca de experiência / diversidade",Engajamento,Falta de comunicação,"Telegram, Discord",1,2,3,s,"n se comparar com outros colegas sobre seus OAS, cada um está numa jornada. ",s,n,Logo que vi no Notion,"Conteúdo muito dificil de aprender só, Só encontrava gente no mesmo grupo",Falta de estrutura dificulta saber como adicionar,,"Buscava outros canais para resolver (grupo Whatsapp, soluções internet), Durante as trilhas sabia que haviam pessoas com gostos em comum",,
De 26 a 29,f,outros,2016/17,Ex-aluno,n havia,1,s,"Troca de experiência / diversidade, Network",Gosto em comum,Falta de comunicação,"Telegram, Whatsapp",1,,,n,,s,n,Logo que vi no Notion,"Conteúdo muito dificil de aprender só, n sabia por onde pesquisar, Dificuldade em encontrar colegas",,,,,
De 22 a 25,m,cc,2020/21,Ex-aluno,Mercado de Trabalho,0,s,Network,Gosto em comum,Falta de comunicação,Telegram,1,,,n,,s,n,Quando soube em um grupo que havia alguém com OA silar,"Conteúdo muito dificil de aprender só, Falta de explicação de professores / mentores, Só encontrava gente no mesmo grupo",,,"Buscava outros canais para resolver (grupo Whatsapp, soluções internet), Encontrava através dos grupos nos challenges",,
De 22 a 25,m,cc  ,2020/21,Ex-aluno,"Empreendedorismo, Pesquisa",1,s,Transformação social,"Engajamento, Gosto em comum",,Google Classroom,2,1,3,s,"Panelinhas, dificuldade em saber se de fato estava aprendendo através dos OAs",n,s,n procurei,"Encontrava muito tardiamente colegas com interesse mútuo, Falta de comunicação com pessoas de outros grupos dificulta encontrar OAs em comum","Falta de estrutura dificulta saber como adicionar, Falta de estrutura dificulta entender os OAs dos colegas",,"Buscava outros canais para resolver (grupo Whatsapp, soluções internet)",,
De 18 a 21,f,cc  ,2020/21,Ex-aluno,Mercado de Trabalho,1,s,"Aprender coisas novas, Se aprofundar em um tema específico",Pessoas diferentes,Falta de comunicação,"Telegram, Discord",3,1,2,s,"Panelinhas, vergonha em se expor",s,s,Quando soube em um grupo que havia alguém com OA silar,,,"OAs de colegam influenciavam os seus, Tinha vergonha de colocar OAs",,,Deixava para adicionar o OA entre os últimos
De 22 a 25,m,cc  ,2020/21,Ex-aluno,Mercado de Trabalho,1,n,Se aprofundar em um tema específico,Engajamento,Falta de comunicação,"Telegram, Slack",3,2,1,n,,s,s,Logo que vi no Notion,Falta de comunicação com pessoas de outros grupos dificulta encontrar OAs em comum,"Falta de estrutura dificulta saber como adicionar, Falta de estrutura dificulta entender os OAs dos colegas","Falta de interesse em colocar OAs, n sabia que tema abordar nos OAs",Durante as trilhas sabia que haviam pessoas com gostos em comum,n encontrou solução,"n encontrou solução, Deixava para adicionar o OA entre os últimos"
Acima de 30,f,cc  ,2020/21,Ex-aluno,Mercado de Trabalho,1,n,Se aprofundar em um tema específico,,Falta de comunicação,"Telegram, Slack",1,2,3,n,,n,n,n procurei,"Conteúdo muito dificil de aprender só, Dificuldade em encontrar colegas, Só encontrava gente no mesmo grupo, Pessoas com objetivos em comum podem estar em outros turnos",,,"Encontrava através dos grupos nos challenges, n encontrou solução",n encontrou solução,Se inspirava na lista dos monitores
De 22 a 25,m,cc  ,2022/23,Aluno atual,n havia,1,s,"Trabalhar com pessoas com interesses mutuos, Estar com pessoas silares","Engajamento, Gosto em comum","Desmotivação do tema, Diferenças entre pessoas mais ativas e mais tímidas",Whatsapp,1,2,3,,,s,n,Quando soube em um grupo que havia alguém com OA silar,"Conteúdo muito dificil de aprender só, n sabia por onde pesquisar",,,"Buscava outros canais para resolver (grupo Whatsapp, soluções internet), Encontrava através dos grupos nos challenges",,
De 22 a 25,m,outros,2020/21,Ex-aluno,Mercado de Trabalho,1,s,"Troca de experiência / diversidade, Se aprofundar em um tema específico",Gosto em comum,"Falta de comunicação, Desencontro de horários",Telegram,1,,,,,s,n,n procurei,"Conteúdo muito dificil de aprender só, n sabia por onde pesquisar, Só encontrava gente no mesmo grupo",Falta de estrutura dificulta saber como adicionar,,"Buscava outros canais para resolver (grupo Whatsapp, soluções internet), Alguém propos solução para encontro entre colegas com gosto em comum",,
De 22 a 25,m,outros,2022/23,Aluno atual,n havia,1,s,Se aprofundar em um tema específico,Pessoas silares,Desencontro de horários,"Telegram, Discord",1,2,3,,,n,s,n procurei,"Conteúdo muito dificil de aprender só, n sabia por onde pesquisar, Dificuldade em encontrar colegas",,,"Buscava outros canais para resolver (grupo Whatsapp, soluções internet), Encontrava através dos grupos nos challenges",,
